Time	Magnitude	Latitude	Longitude	Depth
2007.404956	5.5	-18.495	-173.715	15
2007.408121	5.51	-60.122	-26.548	19.5
2007.416562	6.1	23.05	101.08	10
2007.423404	5.76	-14.869	166.78	27.1
2007.424076	5.67	-60.277	-26.968	15
2007.432071	5.83	13.769	-90.895	65
2007.448509	5.87	-36.171	-100.254	10
2007.448646	5.54	10.383	125.289	17.8
2007.448972	5.76	-5.623	151.696	41
2007.449573	5.59	-46.534	96.054	10
2007.45184	5.85	1.727	30.748	23
2007.454926	5.73	-3.16	138.735	35
2007.458626	6.31	-3.663	150.993	10
2007.459559	5.52	34.456	50.847	18
2007.470858	5.51	-11.624	166.318	44.2
2007.47254	5.62	21.443	99.758	10
2007.474089	5.53	-16.914	-176.986	12.6
2007.474381	6.49	-55.879	-2.843	10
2007.482362	6	-10.446	108.169	15
2007.485611	6.69	-7.948	154.698	18
2007.486282	5.77	-15.805	-74.903	26.3
2007.4875	5.65	-31.97	-71.357	69.7
2007.499935	6.32	0.828	-30.314	15
2007.516181	5.58	-26.193	-177.781	25
2007.528241	5.75	-55.055	-128.569	10
2007.528851	5.97	51.722	-176.192	35
2007.532907	6.14	-15.426	168.676	10
2007.533326	6.09	52.378	-168.108	15
2007.534705	6.63	37.478	138.567	14.7
2007.538921	5.87	-2.86	36.268	10
2007.546671	5.57	42.909	82.29	18.1
2007.550614	5.75	-54.939	-129.112	10
2007.552228	5.71	-2.842	141.821	10
2007.554416	5.55	-4.052	-104.173	10
2007.558584	5.77	-56.196	-142.012	10
2007.561901	5.98	7.156	92.503	25
2007.562591	6.94	2.859	127.54	30
2007.564021	5.68	-62.761	155.868	10
2007.566367	6.13	-21.499	171.055	35
2007.570718	5.87	53.625	169.674	28.8
2007.573593	5.5	-35.53	-103.872	10
2007.575485	5.6	19.227	95.462	10
2007.577359	5.89	27.348	126.895	35
2007.578248	6.18	-0.059	-17.756	15
2007.581409	6.19	46.869	142.016	10
2007.581492	6.74	51.221	-179.872	30
2007.582663	5.69	12.493	47.526	15
2007.583925	5.9	-62.954	145.45	10
2007.588229	6.07	-4.876	-105.493	10
2007.590404	5.93	-19.232	168.783	40
2007.602261	5.51	25.859	-45.09	10
2007.609866	6.04	-11.332	166.239	42
2007.612418	6.13	-60.551	153.991	15
2007.613779	5.55	-31.054	-13.423	24.5
2007.619025	6.47	50.269	-177.522	20
2007.619403	7.97	-13.39	-76.663	38.7
2007.620426	6.46	-9.779	159.482	15
2007.622436	5.85	-5.357	129.53	25
2007.626345	5.72	-22.133	174.829	31.2
2007.63183	5.75	-0.208	-18.056	17.5
2007.631961	6.42	6.15	127.513	15
2007.632844	5.72	-5.347	140.999	10
2007.632981	6.55	8.027	-39.306	10
2007.651517	5.73	-17.413	-172.255	15
2007.662773	5.58	2.33	127.191	20
2007.665439	6.13	24.856	-109.849	10
2007.666106	7.24	-11.606	165.779	35
2007.678971	6.25	24.327	122.308	53
2007.680217	5.95	-56.118	-123.259	10
2007.688093	6.75	2.948	-77.947	28.8
2007.691348	5.51	-9.025	-109.363	10
2007.694635	8.49	-4.407	101.502	34
2007.698393	5.95	-57.606	-147.065	10
2007.699496	5.73	-15.515	-175.954	15
2007.701843	5.59	-20.188	169.043	34.1
2007.721654	5.55	-45.934	-76.446	10
2007.733129	6.75	-4.985	153.498	30
2007.733819	5.64	-6.969	-11.62	7.8
2007.736706	6.13	-21.262	169.326	17.5
2007.74067	5.51	5.927	127.468	61.6
2007.742886	6.95	10.57	145.813	14
2007.743257	7.41	-49.359	164.046	10
2007.746959	5.89	-3.207	148.316	10
2007.750171	6.34	54.396	-161.742	32
2007.755039	6.23	2.52	92.851	17.5
2007.755245	5.62	-8.302	116.872	20
2007.760512	6.07	18.752	147.09	20
2007.766504	5.67	43.53	146.795	46.5
2007.769001	5.96	-4.835	152.864	45
2007.785135	6.8	-44.789	167.487	20
2007.789311	5.5	-6.358	-107.302	10
2007.793774	5.75	30.038	-42.612	10
2007.801325	5.93	-6.314	154.733	48.1
2007.814873	5.55	-2.925	139.692	18.4
2007.815717	5.56	-3.316	143.868	15
2007.827867	5.56	37.426	-121.81	15
2007.829083	6.03	51.355	-178.357	28
2007.832736	5.63	-6.625	154.74	53.8
2007.835425	5.59	-55.254	-129.027	10
2007.83864	5.64	-52.03	160.452	10
2007.840816	5.69	-67.215	111.484	10
2007.855034	6.57	-51.368	161.152	10
2007.856741	5.65	-11.577	166.273	53
2007.867634	7.73	-22.325	-69.969	40
2007.870557	5.78	-22.993	-175.032	20
2007.881284	5.96	-22.027	173.638	10
2007.881879	5.77	43.41	-127.602	15
2007.883742	6.01	-6.813	155.736	50
2007.884038	5.91	-29.874	-177.79	55
2007.884997	5.7	-17.854	-173.067	25
2007.890376	5.79	4.825	95.127	50.3
2007.891926	5.6	-17.973	-174.449	25
2007.895984	5.64	-16.008	-172.431	15
2007.897791	6.46	-8.295	118.406	20
2007.900281	5.93	37.332	141.656	42.7
2007.901202	5.77	18.766	-101.659	65
2007.901945	5.89	16.108	119.951	45
2007.902787	6.57	-11.018	162.22	16
2007.907305	6.35	-36.751	-97.633	10
2007.912588	5.93	2.012	97.922	41
2007.92036	5.88	-6.421	148.585	45
2007.92804	5.71	22.629	-45.068	10
2007.928557	5.9	12.323	125.553	40
2007.932	5.8	-60.42	-52.157	10
2007.933826	5.63	-7.556	37.601	10
2007.938418	5.68	-3.571	144.522	25
2007.941746	5.88	-61.975	-65.709	10
2007.945205	5.79	52.114	-131.568	10
2007.947052	6.16	-15.132	-172.193	17
2007.949656	5.53	-51.969	161.184	15
2007.951821	6.41	-6.589	131.149	57
2007.952815	5.9	-32.658	-71.625	31.6
2007.962755	7.18	51.355	-179.468	34
2007.965312	6.58	-38.854	178.113	30
2007.965527	5.67	39.401	33.131	12.5
2007.967509	5.65	-57.079	-141.287	10
2007.970703	6.21	-2.458	139.114	20
2007.979703	6.07	38.512	142.069	47.6
2007.983354	6.36	52.479	-168.175	25
2007.986789	5.63	-13.669	166.628	25
2007.98882	5.57	-19.45	-173.863	30
2007.998008	5.58	40.295	72.82	20
2007.99942	6.3	-5.975	146.952	34
2008.008435	5.62	14.034	-91.739	45
